assay,TF,type,width,FC,log2FC,motif,family,rank_score,family_score,assay_rank,family_representative,GC,AT,base_range,base_class,four_base_class
loMNase,AAG,bias,0.0,1.052698145588307,0.0740918121538016,MNase_Bias_AAG_loMNase_fragL_dist,,,,,,,,,,
loMNase,ACA,bias,0.0,1.0325946919492046,0.0462740870602136,MNase_Bias_ACA_loMNase_fragL_dist,,,,,,,,,,
loMNase,AGA,bias,0.0,1.035919451866797,0.0509118303313838,MNase_Bias_AGA_loMNase_fragL_dist,,,,,,,,,,
loMNase,AGT,bias,0.0,1.0365749225223373,0.0518243966644096,MNase_Bias_AGT_loMNase_fragL_dist,,,,,,,,,,
loMNase,TGG,bias,0.0004495969746763,1.045951221761977,0.0648155726527457,MNase_Bias_TGG_loMNase_fragL_dist,,,,,,,,,,
loMNase,CTCF,TF,32.73390871924943,10.932546496967218,3.4505575792133087,CTCF_loMNase_fragL_dist,CTCF,1.0,1.0,1.0,True,0.6842793333333334,0.3157213333333334,0.2647853333333333,balanced,skewed
loMNase,SP1,TF,15.41441660449656,3.455044929023264,1.7887044713827391,SP1_loMNase_fragL_dist,SP,0.4893530747866447,0.4893530747866447,4.0,True,,,,,
loMNase,KLF16,TF,16.765223462945638,2.754280458365663,1.4616754713437323,KLF16_loMNase_fragL_dist,KLF,0.4615587929528751,0.4615587929528751,8.0,True,,,,,
loMNase,NRF1,TF,18.46012496221708,2.741984831358657,1.45522059016011,NRF1_loMNase_fragL_dist,NRF1,0.486492364005827,0.486492364005827,5.0,True,,,,,
loMNase,PATZ1,TF,18.599131395388508,2.4178331010504204,1.2737146612135195,PATZ1_loMNase_fragL_dist,PATZ1,0.4617375779764827,0.4617375779764827,7.0,True,0.9377569230769232,0.062246923076923,0.7394861538461539,GC-rich,skewed
loMNase,NFIC,TF,21.6186305477476,3.76267870492707,1.911760102959273,NFIC_loMNase_fragL_dist,NFIC,0.6023443125513632,0.6023443125513632,3.0,True,0.590946,0.4090553333333333,0.0923033333333333,balanced,ATCG-balanced
loMNase,ZNF281,TF,19.024514713069856,2.35351918325003,1.2348196123077684,ZNF281_loMNase_fragL_dist,ZNF281,0.4624755335156201,0.4624755335156201,6.0,True,0.8759590909090909,0.1240481818181818,0.8159172727272727,GC-rich,skewed
loMNase,TFE3,TF,13.417392834948238,2.3125102498681,1.2094597601807795,TFE3_loMNase_fragL_dist,TFE3,0.3730719772929728,0.3730719772929728,20.0,True,0.5177133333333334,0.4822911111111111,0.0393166666666666,balanced,ATCG-balanced
loMNase,REST,TF,23.540293299848788,3.5585721719451526,1.8312984957826672,REST_loMNase_fragL_dist,REST,0.6197824370736692,0.6197824370736692,2.0,True,,,,,
loMNase,ZBTB33,TF,18.05689338783536,2.351859617436753,1.233801948238822,ZBTB33_loMNase_fragL_dist,ZBTB33,0.4475445242406949,0.4475445242406949,9.0,True,0.6713450000000001,0.328654,0.189422,balanced,skewed
