assay,TF,type,width,FC,log2FC,motif,family,rank_score,family_score,assay_rank,family_representative,GC,AT,base_range,base_class,four_base_class
ATAC,GCC,bias,0.0,1.178367554949732,0.23678961301735318,ATAC_Bias_GCC_loMNase_fragL_dist,,,,,,,,,,
ATAC,GCT,bias,0.0,1.1338566727667916,0.1812382852915462,ATAC_Bias_GCT_loMNase_fragL_dist,,,,,,,,,,
ATAC,GGC,bias,0.0,1.1787736862552332,0.23728676067736754,ATAC_Bias_GGC_loMNase_fragL_dist,,,,,,,,,,
ATAC,GTC,bias,0.849956249717442,1.0859861393938377,0.1190056899236893,ATAC_Bias_GTC_loMNase_fragL_dist,,,,,,,,,,
ATAC,GTG,bias,0.0,1.1125322121936403,0.1538471083929548,ATAC_Bias_GTG_loMNase_fragL_dist,,,,,,,,,,
ATAC,CTCF,TF,58.30581585211251,7.650074094205528,2.935473720985055,CTCF_ATAC_fragL_dist,CTCF,1.0,1.0,1.0,True,0.6842793333333334,0.31572133333333346,0.2647853333333333,balanced,skewed
ATAC,ZNF281,TF,48.19463327149978,1.659524972725186,0.7307703394226636,ZNF281_ATAC_fragL_dist,ZNF281,0.5034563806160839,0.5034563806160839,13.0,True,0.8759590909090909,0.12404818181818184,0.8159172727272727,GC-rich,skewed
ATAC,GMEB1,TF,40.409841933112055,1.600721646224765,0.678722455558731,GMEB1_ATAC_fragL_dist,GMEB1,0.4260655636037576,0.4260655636037576,17.0,True,,,,,
ATAC,STAT5B,TF,43.09773087285309,1.423335996777917,0.5092762687976988,STAT5B_ATAC_fragL_dist,STAT5B,0.4180564586854807,0.4180564586854807,19.0,True,,,,,
ATAC,MLX,TF,42.38229688913269,2.1057746424596595,1.0743510490880577,MLX_ATAC_fragL_dist,MLX,0.5165443069503992,0.5165443069503992,10.0,True,0.5871109999999999,0.412888,0.093079,balanced,ATCG-balanced
ATAC,JUND,TF,46.01201635921868,2.2919675026320308,1.1965865885433398,JUND_ATAC_fragL_dist,AP1_JUN_FOS,0.5707827543719964,0.5707827543719964,3.0,True,,,,,
ATAC,TFE3,TF,42.71505966103843,2.230120940895058,1.1571219505484283,TFE3_ATAC_fragL_dist,TFE3,0.5347783635553298,0.5347783635553298,6.0,True,0.5177133333333334,0.4822911111111111,0.03931666666666664,balanced,ATCG-balanced
ATAC,NFIC,TF,48.52681500586942,2.6728630195471523,1.418385903393249,NFIC_ATAC_fragL_dist,NFIC,0.6337689153398682,0.6337689153398682,2.0,True,0.590946,0.4090553333333333,0.09230333333333332,balanced,ATCG-balanced
ATAC,CEBPG,TF,44.85761107887997,2.353214398586024,1.2346327687925067,CEBPG_ATAC_fragL_dist,CEBP_DDIT,0.567787058869023,0.567787058869023,4.0,True,,,,,
ATAC,CREB1,TF,44.71128272676358,2.072842193602225,1.051610287613055,CREB1_ATAC_fragL_dist,CREB_ATF_CREM,0.5325978344620679,0.5625978344620679,7.0,True,0.41435600000000006,0.585647,0.176977,AT-rich,skewed
ATAC,IRF9,TF,40.63942627350352,1.5667173270730153,0.6477449069214631,IRF9_ATAC_fragL_dist,IRF9,0.4223230451302619,0.4223230451302619,18.0,True,,,,,
ATAC,MECOM,TF,39.14683403588213,1.8202740155116504,0.8641556433159608,MECOM_ATAC_fragL_dist,MECOM,0.44943700234518935,0.44943700234518935,16.0,True,,,,,
