assay,TF,type,width,FC,log2FC,motif,family,rank_score,family_score,assay_rank,family_representative,GC,AT,base_range,base_class,four_base_class
DNase,TCC,bias,6.294103997836824e-05,1.0563655194809722,0.0791091167978274,DNase_Bias_TCC_loMNase_fragL_dist,,,,,,,,,,
DNase,TGA,bias,0.0,1.0243178707903189,0.0346634882378691,DNase_Bias_TGA_loMNase_fragL_dist,,,,,,,,,,
DNase,TGC,bias,0.0002969091053805,1.073823329752292,0.10275665416485294,DNase_Bias_TGC_loMNase_fragL_dist,,,,,,,,,,
DNase,TGG,bias,0.0,1.098022450648378,0.1349075526199359,DNase_Bias_TGG_loMNase_fragL_dist,,,,,,,,,,
DNase,TGT,bias,0.0,0.9977601020119932,-0.003235114236432078,DNase_Bias_TGT_loMNase_fragL_dist,,,,,,,,,,
DNase,SP1,TF,20.250151168568912,3.2633233727669877,1.706341955609877,SP1_DNase_fragL_dist,SP,0.6321788579148222,0.6321788579148222,5.0,True,,,,,
DNase,KLF16,TF,21.163614503918204,2.589047325816884,1.3724213368476408,KLF16_DNase_fragL_dist,KLF,0.5914317651319623,0.5914317651319623,9.0,True,,,,,
DNase,CTCF,TF,27.613676265266477,8.322952564225652,3.0570954146791482,CTCF_DNase_fragL_dist,CTCF,0.9954068011556585,0.9954068011556585,1.0,True,0.6842793333333334,0.31572133333333346,0.2647853333333333,balanced,skewed
DNase,ZNF281,TF,23.79324262296061,2.182393706913143,1.1259113893673685,ZNF281_DNase_fragL_dist,ZNF281,0.5964304584295219,0.5964304584295219,7.0,True,0.8759590909090909,0.12404818181818184,0.8159172727272727,GC-rich,skewed
DNase,JUND,TF,19.527985439690774,2.683782536615829,1.4242677765841933,JUND_DNase_fragL_dist,AP1_JUN_FOS,0.5709583987959048,0.5709583987959048,12.0,True,,,,,
DNase,TFE3,TF,18.30948722460577,2.4147706904468893,1.271886195494872,TFE3_DNase_fragL_dist,TFE3,0.5230243351229126,0.5230243351229126,21.0,True,0.5177133333333334,0.4822911111111111,0.03931666666666664,balanced,ATCG-balanced
DNase,NFIC,TF,23.578450664719934,4.553996134951784,2.1871330670370606,NFIC_DNase_fragL_dist,NFIC,0.7741569021914168,0.7741569021914168,2.0,True,0.590946,0.4090553333333333,0.09230333333333332,balanced,ATCG-balanced
DNase,BACH1,TF,19.13710964846024,3.1221310220614016,1.6425310821306538,BACH1_DNase_fragL_dist,BACH1,0.6012916363363295,0.6012916363363295,6.0,True,,,,,
DNase,ZNF740,TF,27.86969564540258,1.4566012067953291,0.5426059455353122,ZNF740_DNase_fragL_dist,ZNF740,0.5697591004002184,0.5697591004002184,13.0,True,,,,,
DNase,NFE2,TF,19.471342216024947,3.4572504410809874,1.7896251153210867,NFE2_DNase_fragL_dist,NFE2,0.6324565207940185,0.6324565207940185,4.0,True,,,,,
DNase,MAFG,TF,18.520574618837884,3.146654442774776,1.6538187544011937,MAFG_DNase_fragL_dist,MAF_SMALL,0.5921618628652752,0.5921618628652752,8.0,True,,,,,
DNase,REST,TF,27.82589146505724,2.544358424133784,1.3473019175943164,REST_DNase_fragL_dist,REST,0.7066604588291456,0.7066604588291456,3.0,True,,,,,
