assay,label,group,width,FC,log2FC,motif,seed,fit_source,display_label
ATAC,CTCF,real CTCF,58.30581585211251,7.650074094205528,2.935473720985055,CTCF_ATAC_fragL_dist,,real,CTCF
DNase,CTCF,real CTCF,27.61367626526648,8.322952564225652,3.057095414679148,CTCF_DNase_fragL_dist,,real,CTCF
loMNase,CTCF,real CTCF,32.73390871924943,10.932546496967218,3.4505575792133087,CTCF_loMNase_fragL_dist,,real,CTCF
ATAC,s0,shuffled CTCF,0.0,1.241523477811628,0.3121115438362544,CTCF_f9_s0_shuffled_ATAC_fragL_dist,0.0,full,scramble 1
ATAC,s1,shuffled CTCF,0.0,1.1938584221689543,0.2556317597640809,CTCF_f9_s1_shuffled_ATAC_fragL_dist,1.0,full,scramble 4
ATAC,s2,shuffled CTCF,0.0,1.1401198010148108,0.1891854272400454,CTCF_f9_s2_shuffled_ATAC_fragL_dist,2.0,full,scramble 2
ATAC,s3,shuffled CTCF,0.0,1.268234115916368,0.3428210914509642,CTCF_f9_s3_shuffled_ATAC_fragL_dist,3.0,screen,scramble 5
ATAC,s4,shuffled CTCF,2.2135447802914068,1.2160823680748074,0.2822409491668419,CTCF_f9_s4_shuffled_ATAC_fragL_dist,4.0,full,scramble 6
ATAC,s5,shuffled CTCF,0.0,1.1648951294979142,0.2202000810912623,CTCF_f9_s5_shuffled_ATAC_fragL_dist,5.0,full,scramble 3
ATAC,s6,shuffled CTCF,0.0,1.1757618205268314,0.233595836409985,CTCF_f9_s6_shuffled_ATAC_fragL_dist,6.0,full,scramble 7
ATAC,s7,shuffled CTCF,0.0,1.183164645779414,0.2426508489282918,CTCF_f9_s7_shuffled_ATAC_fragL_dist,7.0,screen,scramble 8
ATAC,s8,shuffled CTCF,0.0,1.2724487135554972,0.3476075091966576,CTCF_f9_s8_shuffled_ATAC_fragL_dist,8.0,screen,scramble 9
ATAC,s9,shuffled CTCF,2.313812903790548,1.1663542255351618,0.2220060062167262,CTCF_f9_s9_shuffled_ATAC_fragL_dist,9.0,screen,scramble 10
ATAC,s10,shuffled CTCF,0.0,1.2737417399120512,0.3490727906881957,CTCF_f9_s10_shuffled_ATAC_fragL_dist,10.0,screen,scramble 11
DNase,s0,shuffled CTCF,14.191873150546677,1.2831265889644188,0.3596635089015677,CTCF_f9_s0_shuffled_DNase_fragL_dist,0.0,full,scramble 1
DNase,s1,shuffled CTCF,17.26371796821114,1.2136936522737407,0.2794043177064395,CTCF_f9_s1_shuffled_DNase_fragL_dist,1.0,full,scramble 4
