motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
THRB_loMNase_fragL_dist	200000	0.9232454069272059	2.523103816307551	0.0729312557188142	0.15250702723006268	0.7803001457183301	1.0661906681360818	2.2241900429366286	2.822017589678474	0.13446972082841357	2.0109382399130458	15859.445227777585	0.0	NA	15853.445227777585	-1132826.7723173513	-1140756.49493124	ok	0.0
SMAD3_loMNase_fragL_dist	200000	1.2617102489957228	0.0	0.1226774925884013	0.0013108657777089283	1.0212623635224563	1.5021581344689894	-0.0025692969243094996	0.0025692969243094996	0.10557327909700799	1.6838011788209017	9649.25146339368	0.0	NA	9643.25146339368	-1135931.8691995433	-1140756.49493124	ok	0.0
TGIF2_loMNase_fragL_dist	200000	-1.1052628470080894	0.0	0.16260213537708096	0.0007568090125322704	-1.4239630323471681	-0.7865626616690107	-0.00148334566456325	0.00148334566456325	0.12687615560823057	1.8246847484627344	13115.609579104465	0.0	NA	13109.609579104465	-1134198.6901416879	-1140756.49493124	ok	0.0
TCF12_loMNase_fragL_dist	200000	-0.33547830762171804	8.197282005314229	0.08186109730875613	0.1795572198388549	-0.4959260583468801	-0.17503055689655603	7.845349854430073	8.549214156198385	0.11415528242310394	1.9108920734498094	13677.207994647324	0.0	NA	13671.207994647324	-1133917.8909339164	-1140756.49493124	ok	0.0
TAL1_loMNase_fragL_dist	200000	-0.5482992688254791	3.963494387033994	0.08307187064115477	0.18127158242159414	-0.7111201352821425	-0.3854784023688157	3.6082020854876697	4.318786688580318	0.1665982936582054	2.2181379712199654	24163.62312270794	0.0	NA	24157.62312270794	-1128674.6833698861	-1140756.49493124	ok	0.0
MYBL2_loMNase_fragL_dist	200000	2.2840213567866043	0.5911606259771275	0.1561635760879644	0.3260032020047919	1.9779407476541941	2.5901019659190148	-0.04780564995226455	1.2301269019065195	0.08260607569717342	1.530850950128638	5953.022839346435	0.0	NA	5947.022839346435	-1137779.9835115669	-1140756.49493124	ok	0.0
FOXA1_loMNase_fragL_dist	200000	10.0	0.0	0.30774233775685045	NA	9.396825017996573	10.603174982003427	NA	NA	0.04391059813478769	1.2917802335203787	1586.5010865638033	0.0	NA	1580.5010865638033	-1139963.2443879582	-1140756.49493124	ok	0.0
SOX6_loMNase_fragL_dist	200000	-10.0	0.0	0.7297052629789226	NA	-11.430222315438687	-8.569777684561313	NA	NA	0.059256832295351544	1.365681521412984	3032.2539949417114	0.0	NA	3026.2539949417114	-1139240.3679337692	-1140756.49493124	ok	0.0
SP2_loMNase_fragL_dist	200000	0.05521851197459742	11.994888429516859	0.03943847208418655	0.09039764172893149	-0.02208089331040821	0.13251791725960305	11.817709051728153	12.172067807305565	0.233612566862482	3.246967081851099	54093.57180290716	0.0	NA	54087.57180290716	-1113709.7090297865	-1140756.49493124	ok	0.0
MAZ_loMNase_fragL_dist	200000	1.181279934051922	13.199025512586557	0.04328955080036323	0.10133473934732974	1.09643241448321	1.266127453620634	13.00040942346579	13.397641601707324	0.20057276439491614	2.949313426357729	42650.427592399996	0.0	NA	42644.427592399996	-1119431.28113504	-1140756.49493124	ok	0.0
BCL6_loMNase_fragL_dist	200000	-10.0	0.0	NA	NA	NA	NA	NA	NA	0.05576403354134406	1.3434854371702063	2725.265049564652	0.0	NA	2719.265049564652	-1139393.8624064578	-1140756.49493124	ok	0.0
NR2F6_loMNase_fragL_dist	200000	2.6292166930018332	4.049663315108975	0.07214592837225768	0.14996235107782135	2.4878106733922083	2.770622712611458	3.7557371069964454	4.343589523221505	0.1024839943441328	1.8215690258283193	9950.331100936048	0.0	NA	9944.331100936048	-1135781.329380772	-1140756.49493124	ok	0.0
ETV1_loMNase_fragL_dist	200000	5.0869657412899	0.0	0.10595391370219237	NA	4.879296070433603	5.294635412146197	NA	NA	0.1116120270058897	1.7270563406334452	10652.729517158587	0.0	NA	10646.729517158587	-1135430.1301726608	-1140756.49493124	ok	0.0
FOXM1_loMNase_fragL_dist	200000	-10.0	0.0	0.30499840462927585	0.0013107249267051242	-10.597796873073381	-9.402203126926619	-0.0025690208563420433	0.0025690208563420433	0.04407567087045999	1.2925967745789129	1634.7881992105395	0.0	NA	1628.7881992105395	-1139939.1008316348	-1140756.49493124	ok	0.0
TCF3_loMNase_fragL_dist	200000	-0.21155282162498443	7.519780193885545	0.0823526394213142	0.17915372566875057	-0.37296399489076026	-0.05014164835920859	7.168638891574794	7.870921496196296	0.10380480101969354	1.7875106582898959	11521.054064531345	0.0	NA	11515.054064531345	-1134995.9678989744	-1140756.49493124	ok	0.0
ELF4_loMNase_fragL_dist	200000	-5.429750488933333	0.0	0.20296436769643858	NA	-5.827560649618353	-5.0319403282483135	NA	NA	0.1023539957711415	1.6550407571495775	9027.439362209756	0.0	NA	9021.439362209756	-1136242.7752501352	-1140756.49493124	ok	0.0
ZEB2_loMNase_fragL_dist	200000	9.99991393064748	0.00019590748710363983	NA	0.002581788335518364	NA	NA	-0.0048643976505123535	0.005256212624719633	6.144496042952101e-06	1.22851809963775	0.5363236730918288	0.910841783627961	NA	-5.463676326908171	-1140756.2267694036	-1140756.49493124	ok	0.9255327801380894
