motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
ATAC_Bias_CCC_loMNase_fragL_dist	1973722	5.937455955079657	0.0	0.11190395689450133	0.00010362262433724932	5.718124199566434	6.15678771059288	-0.00020310034370100866	0.00020310034370100866	0.02572469090169151	1.1222095420304181	4491.380634732544	0.0	NA	4485.380634732544	-11255435.26312602	-11257680.953443386	ok	0.0
ATAC_Bias_CCT_loMNase_fragL_dist	1367058	-9.999988457595572	0.0	37.8375619406258	0.053643527925743284	-84.16160986122213	64.16163294603098	-0.10514131473445683	0.10514131473445683	6.144377936203338e-06	1.0606415976010797	1.0492348615080118	0.7893409104036856	NA	-4.950765138491988	-7797400.937621126	-7797401.462238557	ok	0.7893409104036856
ATAC_Bias_CTC_loMNase_fragL_dist	1388449	-7.168059987510367	0.0	0.12927000688513338	NA	-7.421429201005228	-6.914690774015506	NA	NA	0.022540616619434475	1.0990951761467447	2457.5734159667045	0.0	NA	2451.5734159667045	-7918182.286445945	-7919411.073153928	ok	0.0
ATAC_Bias_GAG_loMNase_fragL_dist	1350524	-2.829598876539374	0.0	0.1412118711269143	NA	-3.106374143948126	-2.5528236091306216	NA	NA	0.02263117284114782	1.1015106113645934	2421.0826198235154	0.0	NA	2415.0826198235154	-7701884.581492679	-7703095.122802591	ok	0.0
ATAC_Bias_GCC_loMNase_fragL_dist	2206717	-6.964164665210129	0.0	0.10616285447842923	NA	-7.172243859987851	-6.756085470432407	NA	NA	0.04091637690509512	1.1783675549497319	12280.580267693847	0.0	NA	12274.580267693847	-12580493.46099206	-12586633.751125908	ok	0.0
ATAC_Bias_GCT_loMNase_fragL_dist	1416522	-7.354141283796917	0.0	0.15470922556232317	NA	-7.6573713658990705	-7.050911201694763	NA	NA	0.03071150140206017	1.1338566727667916	4585.048658829182	0.0	NA	4579.048658829182	-8077240.834235537	-8079533.358564951	ok	0.0
ATAC_Bias_GGC_loMNase_fragL_dist	2177091	-5.968204904392888	0.0	0.08961951777337465	NA	-6.143859159228702	-5.792550649557073	NA	NA	0.03857656167007596	1.1787736862552332	10831.322619285434	0.0	NA	10825.322619285434	-12412237.8302221	-12417653.491531743	ok	0.0
ATAC_Bias_GGG_loMNase_fragL_dist	1932855	7.961478027197554	0.0	0.15173121022623046	NA	7.664084855154142	8.258871199240966	NA	NA	0.019539458975005152	1.0883031834264707	2591.0586298257113	0.0	NA	2585.0586298257113	-11023288.945736699	-11024584.475051612	ok	0.0
ATAC_Bias_GTC_loMNase_fragL_dist	1288760	4.6635163839974725	0.849956249717442	0.22772764163727371	0.4789419601292483	4.217170206388416	5.109862561606529	-0.08876999213588466	1.7886824915707686	0.019249033222609183	1.0859861393938377	1700.4956879336387	0.0	NA	1694.4956879336387	-7349956.454193959	-7350806.702037926	ok	0.0
ATAC_Bias_GTG_loMNase_fragL_dist	1197971	-9.999939688865412	0.0	NA	NA	NA	NA	NA	NA	6.145375009565822e-06	1.1125322121936405	1.3683559894561768	0.7129687344126411	NA	-4.631644010543823	-6832965.310768369	-6832965.994946363	ok	0.7893409104036856
