motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
DNase_Bias_CAC_loMNase_fragL_dist	3127974	9.999518556740448	0.0	NA	0.00032517540276979357	NA	NA	-0.0006373437894287954	0.0006373437894287954	6.14880703922074e-06	1.0906392571378163	3.0455414950847626	0.3846567329011156	NA	-2.9544585049152374	-17841281.75960951	-17841283.282380257	ok	0.7683408047119112
DNase_Bias_CCA_loMNase_fragL_dist	3171401	10.0	0.0	NA	NA	NA	NA	NA	NA	6.148513859765051e-06	1.103127311222858	3.107691913843155	0.3753173912831694	NA	-2.892308086156845	-18088979.890061192	-18088981.44390715	ok	0.7683408047119112
DNase_Bias_CCC_loMNase_fragL_dist	5064622	7.256230963928697	11.198846070155207	0.060796071625694205	0.12604715028205443	7.137070663542336	7.375391264315058	10.951793655602382	11.445898484708033	0.025324089706019345	1.179650964404706	17898.88132352382	0.0	NA	17892.88132352382	-28878552.763696477	-28887502.20435824	ok	0.0
DNase_Bias_CCT_loMNase_fragL_dist	3500979	-10.0	0.0	NA	NA	NA	NA	NA	NA	6.144891590342487e-06	1.0449529400932052	1.365878887474537	0.7135520331771732	NA	-4.634121112525463	-19968821.98139995	-19968822.664339393	ok	1.0
DNase_Bias_TAA_loMNase_fragL_dist	1476385	-10.0	0.0	0.6400601182370248	0.0009555253889077517	-11.254517831744568	-8.745482168255432	-0.0018728297622591934	0.0018728297622591934	6.144174602214718e-06	0.8136635809256425	0.0	1.0	NA	-9.281260170042515	-8420980.52947538	-8420978.888845295	ok	1.0
DNase_Bias_TCC_loMNase_fragL_dist	3572743	10.0	6.294103997836824e-05	10.885972650901959	NA	-11.336506395767838	31.336506395767838	NA	NA	6.144289875915364e-06	1.0563655194809722	2.5800119936466217	0.4610044828271468	NA	-3.4199880063533783	-20378147.619844623	-20378148.90985062	ok	0.7683408047119112
DNase_Bias_TGA_loMNase_fragL_dist	2178207	-10.0	0.0	NA	0.00046340950011841583	NA	NA	-0.000908282620232095	0.000908282620232095	6.1443574730775876e-06	1.0243178707903187	0.26668695360422134	0.9661669590853355	NA	-5.733313046395779	-12424018.779429983	-12424018.91277346	ok	1.0
DNase_Bias_TGC_loMNase_fragL_dist	3097993	-9.999896193369333	0.0002969091053805856	NA	0.0031852678581353665	NA	NA	-0.0059462158965647325	0.006540034107325904	6.144437922285086e-06	1.073823329752292	2.6479328125715256	0.44914820329165506	NA	-3.3520671874284744	-17670276.85604118	-17670278.180007588	ok	0.7683408047119112
DNase_Bias_TGG_loMNase_fragL_dist	3192784	-10.0	0.0	14.343607055048818	0.00023167963219621618	-38.113469827895685	18.11346982789568	-0.0004540920791045837	0.0004540920791045837	6.1444659320116584e-06	1.098022450648378	2.8751272931694984	0.4112814742315748	NA	-3.1248727068305016	-18210943.986999076	-18210945.424562722	ok	0.7683408047119112
DNase_Bias_TGT_loMNase_fragL_dist	2150429	10.0	0.0	NA	NA	NA	NA	NA	NA	6.144174602214718e-06	0.9977601020119932	0.0	1.0	NA	-6.31228868290782	-12265579.399336802	-12265579.24319246	ok	1.0
